product_details,product_name,specifications
" Product Details  As low as $2.29 per coin over spot With 1 oz of pure U.S. Silver and a beautiful patriotic design, the Silver American Eagle has become the most popular bullion coin in the United States.  Coin Highlights:   Contains 1 oz of .999 fine Silver. Multiples of 20 are packaged in plastic tubes. Multiples of 500 are packaged in “Monster Boxes.” All other Silver Eagles will be in protective packaging. Eligible for Precious Metals IRAs . Obverse: Adolph A. Weinman’s design showing Lady Liberty draped in an American flag, walking gracefully as the sun rises over a ridge. Reverse: A heraldic eagle is shown below 13 small stars, representing the original colonies. Sovereign coin backed by the U.S. government. Protect your American Silver Eagle with this clear plastic capsule  or display it in style by adding an attractive presentation box or jewelry bezel to your order. Attractive and patriotic, the Silver Eagle is the most popular Silver coin in the U.S. Add the 1 oz Silver American Eagle to your cart today! Dates on these random year coins will be of our choosing and may or may not vary, determined by stock on hand. All coins will be in Brilliant Uncirculated condition. While backdated Silver Eagles are often found with light spotting or mild toning, any damaged or heavily spotted/toned coins will be sold as 1 oz Silver American Eagle (Cull, Damaged) .   Related Searches   2018 Silver Eagles      Before purchasing 1 oz Silver American Eagles, get to know the terminology of coin buying.  If you are considering 1 oz Silver American Eagles as your first investment in bullion coins, you should familiarize yourself with the terms to know when purchasing Silver coins. The price of Silver coins starts with the Silver spot price, which is the base price for unfabricated Silver. No one pays the spot price because there are expenses to account for. When you buy Silver coins, you will also pay what is called a premium price, which includes the cost for distribution, fabrication, any numismatic or collector value for rarer coins and a nominal dealer fee. Also, whether you buy Silver U.S. coins or Silver coins from around the world, you will find that the price is always based on the spot price per troy ounce of Silver in U.S. dollars.    The American Silver Eagle was first released on November 24, 1986.      ",1 oz Silver American Eagle BU (Random Year),"Product ID: 23331,  Year: Random,  Grade: Brilliant Unc,  Grade Service: None,  Denomination: $1.00,  Mint Mark: None,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: 2.98 mm,  Diameter: 40.6 mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $0.59 per oz over spot 1 oz Silver rounds are an ideal way to add to your Silver holdings, and secondary market Silver rounds can often be purchased at a lower premium than brand new rounds. Each Silver round is tested for Silver content and purity.  Round Highlights:   Contains 1 oz of .999 fine Silver. Rounds are randomly selected from a variety of brands and shapes based upon inventory available. You may receive a variety of rounds or may all be the same. Packaging may vary but all come in protective packaging. Diverse mix of Silver rounds from numerous manufacturers such as APMEX, Johnson Matthey, Sunshine, U.S. Assay, A-Mark and other comparable quality manufacturers. Designs vary, which can add some collectibility. Protect your Silver while in storage from the adverse effects of moisture in the air by adding these silica gel desiccants to your order. With a variety of designs and manufacturers and a lower price point, the 1 oz Silver value of these secondary market Silver rounds are a great way to add Silver to your investment portfolio. Add these 1 oz Silver rounds to your cart today! We often ship various items within each shipment that may include themes such as holidays and other artistic designs. At times, Silver rounds may tone due to the natural oxidation process that has no adverse effect on the value of the Silver. The 1 oz Silver rounds we sell as secondary market rounds may have nicks or scratches and are priced accordingly.   Related Searches  What are Secondary Market Metals?     Buy 1 oz Silver rounds for the mystique surrounding this Precious Metal.  When you purchase 1 oz Silver rounds and other forms of Silver, you most likely are not thinking about the lore surrounding the Precious Metal. The Silver used to produce Silver rounds is the same Silver that the Chinese would use to make Silver lockets for children to wear to protect them from evil spirits. Silver bullion like Silver rounds can also have good luck attributed to the Silver. For example, the father of British brides may buy Silver sixpences to carry on the tradition of placing one in the bride’s shoe for good luck.    Store and protect 1 oz Silver rounds properly to avoid the ill effects of moisture.  After purchasing 1 oz Silver rounds, keeping them free from tarnish and other ill effects of moisture should be a priority. Find tubes for Silver rounds for sale at APMEX, as well as an array of storage boxes. To keep Silver rounds safer from tarnish, we also offer silica gel desiccants to dehumidify the air within your storage container. After you buy Silver, browse the inventory of storage products to choose everything you need to protect your investment.    Each of these secondary market 1 oz Silver rounds are tested and guaranteed by APMEX for .999 fine Silver content and purity.      ",1 oz Silver Round - Secondary Market,"Product ID: 23,  Year: N/A,  Grade: None,  Grade Service: None,  Denomination: 1 oz,  Mint Mark: N/A,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: Varies mm,  Diameter: Varies mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $4.99 per coin over spot This stunning .999 fine Silver coin, celebrating the 25th anniversary of Disney's The Lion King, features an officially licensed image of Simba on Pride Rock. The Lion King was first released in 1994 and is one of the most successful movies of all time.  There are only 25,000 coins produced worldwide, 10 times lower than the maximum mintages set on previous licensed Silver bullion coins from New Zealand Mint. With such a low mintage, take advantage of the opportunity to own this officially licensed Lion King Silver coin. Coin Highlights:   Limited mintage of 25,000 coins worldwide .  Contains 1 oz of .999 fine Silver. APMEXclusive® worldwide. Coin comes in protective packaging. Multiples of 25 come in plastic tubes. Multiples of 250 come in Monster Boxes. Obverse: Features the Ian Rank-Broadley likeness of Her Majesty Queen Elizabeth II surrounded by the country and face value. Reverse: Displays Simba as an adult, standing on Pride Rock, with the Disney logo and "" Lion King 25 th Anniversary"" engraved on the coin. Also included is the metal content, purity and Disney copyright for further authentication. Sovereign coin backed by the Niue government and officially licensed by Disney. Protect your Silver in storage from the adverse effects of moisture in the air by adding these silica gel packets to your order. The Lion King was an iconic Disney movie released in the mid-1990s. It has a been a favorite of movie-lovers ever since. Add this limited mintage 1 oz Silver coin to your cart today to commemorate the 25 th anniversary of The Lion King! THE LION KING: Disney's The Lion King is an animated film first released to the public June 24, 1994. Winning two Academy Awards for the music and a Golden Globe for Best Motion Picture, The Lion King continues to be a classic film for children and adults alike. The story follows a young lion cub, Simba, and his life through adulthood. The movie is set in the Pride Lands of Africa, where lions rule the kingdom. It was announced a remake of the film is set to launch on July 19, 2019.  ",2019 Niue 1 oz Silver $2 Disney Lion King 25th Anniversary BU,"Product ID: 189081,  Year: 2019,  Grade: Unc./ Brilliant Unc,  Grade Service: None,  Denomination: $2.00,  Mint Mark: Not Shown,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: 3 mm,  Diameter: 40 mm,  "
" Product Details  As low as $29.99 per coin over spot With an iconic design and 1 oz of U.S. Gold, the American Gold Eagle combines the best aspects of collectibility and bullion investment appeal, which has made it America’s preferred Gold coin.  Coin Highlights:   Contains 1 oz actual Gold weight. Multiples of 20 are packaged in tubes. Multiples of 500 are packaged in “Monster Boxes.” All other coins will be in protective packaging. Eligible for Precious Metals IRAs . Obverse: Adapted from Augustus Saint-Gaudens’ famed Gold Double Eagle design, which features Lady Liberty walking confidently against the sun’s rays. Reverse: Designed by Miley Busiek, the reverse shows a male bald eagle in flight carrying an olive branch to his nest, where a female awaits with her young. Minted at West Point, N.Y. Protect your Gold American Eagle with this clear plastic capsule or display it in style by adding an attractive presentation box to your order. You can also add a coin bezel to turn your Gold Eagle into fine jewelry. The Gold American Eagle quickly became the most popular Gold bullion coin in the United States since its release in 1986. Add this 1 oz Gold Eagle to your cart today! Dates you receive will be of our choosing and are determined by stock on hand.   Related Searches  2018 1 oz Gold Eagle Coin  Gold Eagle Coins     The beauty of 1 oz Gold American Eagle coins has been acclaimed for more than a century.  The 1 oz Gold American Eagle design is based on the famous Saint-Gaudens Lady Liberty design that appeared on the final Gold Double Eagle design. Replacing the Liberty Gold coin in 1907, the Saint-Gaudens Gold coin was born out of President Theodore Roosevelt’s desire for U.S. Gold coins to be a work of art. The 1907 Gold Double Eagle coin is considered one of the most beautiful of American coins, and the present-day American Eagle receives the same sort of acclaim. Modern American Eagle coins for sale are made for investors, but collectors enjoy their beauty.    The value of a Gold Eagle coin involves more than the beauty of its design or the year of its minting.  The 1 oz Gold American Eagle is made chiefly for investors, although the U.S. Mint offers proof and burnished coins made with special processes to enhance their beauty for collectors. A Gold Eagle coin could refer to a variety of different Gold coins, including a modern Gold bullion coin and pre-1933 Gold Eagle coins . The Capped Bust Gold coin was the earliest Gold Eagle coin, starting in 1795, but it was produced in such low numbers that they are seen as purely high-end collector items. Coins for sale can be bought for their Precious Metal value or their collectibility value, and it is important to know what you are getting before paying the premium over the Gold spot price .    The Gold American Eagle is legal tender, though its actual Gold content is worth much more than the $50 face value.      ",1 oz Gold American Eagle BU (Random Year),"Product ID: 1,  Year: Random,  Grade: Brilliant Unc,  Grade Service: None,  Denomination: $50.00,  Mint Mark: Not Shown - West Point,  Metal Content: 1 troy oz,  Purity: .9167,  Thickness: 2.87 mm,  Diameter: 32.7 mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $1.79 per coin over spot Featuring RCM’s new MintShield™ white spot reducing technology, the 2019 Silver Maple Leaf Coin is unmatchable.  The coin also features an added measure of security with its unique design of light diffracting pattern of radial lines.  The reverse of the 2019 Silver Maple features the iconic Maple Leaf. The 2019 1 oz Canadian Silver Maple Leaf coins are one of the most beautiful Silver coins in the world. Coin Highlights:   Contains 1 oz of .9999 fine Silver. Features RCM's MintShield™ technology, a breakthrough that significantly reduces the occurrence of milk spots. Multiples of 25 are packaged in mint tubes. All other coins will be in protective packaging. Eligible for Precious Metals IRAs . Obverse: Displays the right-facing profile of Queen Elizabeth II, along with the year and face value. Reverse: Features a large, single maple leaf with the weight and purity. Radial line background was precisely machined by the Royal Canadian Mint to create a unique light diffracting pattern, providing another measure of security. Sovereign coin backed by the Canadian government. Protect your 2019 Silver Maple Leaf  with this clear plastic capsule  or display it in style by adding an attractive presentation box or jewelry bezel to your order. These 2019 Silver Maples are the perfect blend of collectible beauty and investment appeal. Add this 2019 1 oz Silver Maple Leaf coin to your cart today! The Maple Leaf has been a national symbol of Canada since the 18 th century. The 2019 1 oz Silver Maple Leaf features a form of security though the Royal Canadian Mint’s Bullion DNA program. The Bullion DNA program offers the highest security on the market for any bullion coin. Each bullion coin features a textured maple leaf security privy mark, micro-engraved with laser technology and is visible only under magnification. Etched within the maple leaf security mark are the two digits indicating the coin’s production year. Each micro-engraving is encoded, scanned and recorded at the mint for future authentication giving each coin their unique Bullion DNA. Bullion DNA authenticates coins by scanning them with a Mint’s proprietary Bullion DNA reader verifying that the micro-engraved security mark is a match to the Royal Canadian Mint’s secure database. This process provides each Silver Maple Leaf coin with the highest security for any coin in the market place. The Royal Canadian Mint’s unique Bullion DNA program authenticates Silver Maple Leaf coins dated 2015 and later. APMEX is a recognized Bullion DNA dealer for trusted RCM products. Every Silver Maple Leaf bullion coin dated 2018 and later now features MINTSHIELD™ Surface Protection, the world’s only proven technique for significantly reducing the appearance of white spots or ""milk spots"" on Silver bullion coins.    The 2019 Canadian Maple Leaf Silver Coin A superb balance between classic design and well-known investment opportunity, the 2019 Silver Maple Leaf coin is a sight to behold. The obverse pays homage to Queen Elizabeth II, in a right-facing profile depiction created by Susanna Blunt. Each exquisite Silver coin is struck with micro-engraved radial lines for security. On the reverse, a graceful maple leaf appears, which is well known as the national symbol of Canada. The venation and of the leaf gives these Silver Canadian coins extraordinary appeal. The mint year is laser-engraved adding another unique quality, compared to bullion coins struck by other national mints. The Silver Maple Leaf is also legal tender in Canada, with a face value of 5 Canadian dollars. The terms “Canada” and “Fine Silver 1 oz Argent Pur” appear on all coins in the series.   Silver Maple Leaf Coins and Security Considered a national symbol for Canada since the 1900s, the maple leaf makes this coin especially popular among Canadians. Depictions appear on the country’s flag as well as all currency produced. Unique security features of the coin broaden its appeal worldwide. The Royal Canadian Mint implements a Bullion DNA program. Each Silver Maple Leaf coin is made with a privy mark and micro-engraved with security details that are only visible under magnification. The micro-engraving is coded, carefully scanned and logged at the mint so that any coin can be authenticated with ease. Within the security mark, a two-digit production year can be found.   The 2019 Silver Maple Leaf is produced with superior security features, including micro-engraved laser marks, which set the world standard for authentication.      ",2019 Canada 1 oz Silver Maple Leaf BU,"Product ID: 171434,  Year: 2019,  Grade: Brilliant Unc,  Grade Service: None,  Denomination: $5.00,  Mint Mark: Not Shown - RCM,  Metal Content: 1 troy oz,  Purity: .9999,  Thickness: 3.29 mm,  Diameter: 38 mm,  "
" Product Details  As low as $0.69 per oz over spot The 1 oz Silver Buffalo Round pays tribute to America’s native tribes and the majestic, once endangered buffalo. James Earle Fraser’s design for the 1913 Buffalo Nickel has inspired both images featured on this round. Mintmark and designs may vary.  Round Highlights:   Contains 1 oz of .999 fine Silver. Individual rounds come in protective packaging. Multiples of 20 come in plastic tubes and boxes contain multiples of 500. The design of these rounds is based on the original coin issued by the U.S. Mint. These rounds carry no actual face value. Obverse: Depicts a Native American with the motto ""LIBERTY"" on top right. Reverse: Black Diamond, an American bison (buffalo) atop a mound of dirt. Fraser sketched this design in the New York Central Park Zoo. Guaranteed by APMEX. Protect and display your Silver round in style by adding an attractive presentation box recommended for this round. James Earle Fraser's Indian Head nickel design is regarded among the best designs of any U.S. coin. Add this sought after Silver Buffalo Round to your cart today!    Buy Silver rounds when you want to balance your investment portfolio.  Rounds, like the Silver Buffalo round, are Precious Metals that are round like coins, but they do not have a face value and are not legal tender. A 1 oz Silver round would be purchased primarily to own Precious Metals and hold physical Silver as an investment. When you buy Precious Metals in the form of Silver coins, you are buying a Precious Metal produced by private mints. Unlike Silver bullion rounds, Silver coins have a face and legal tender status and are produced by government mints. Modern Silver coins like Silver bullion rounds are often produced for investment purposes as well.    Invest in Silver bullion and other Precious Metals that are always being traded around the globe.  When investors buy Precious Metals, they are usually very aware of the Silver spot price , which is the current unfabricated price of Silver in real time. Unlike stocks, Silver bullion and coins don’t have a daily closing price. Silver, like that in the Silver Buffalo round, is traded 24/7 as part of commodity markets around the world, the most important gauge for Silver prices today being the New York Commodity Exchange (COMEX). When you buy a 1 oz Silver round, you pay a premium price that is based on the spot price of Silver (the result of supply and demand around the world) plus markups for fabrication, distribution, minor dealers’ fees and any numismatic collector value.   1 oz Silver Buffalo rounds are an easy way to enjoy iconic artwork at an affordable premium over Silver spot price.     ",1 oz Silver Round - Buffalo,"Product ID: 44447,  Year: N/A,  Grade: None,  Grade Service: None,  Denomination: 1 oz,  Mint Mark: Varies,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: 2.9 mm,  Diameter: 39.04 mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $2.99 per round over spot APMEX has partnered with Lionsgate to produce this exclusive, limited-mintage series based on the currency featured in the John Wick saga. This 1 oz .999 fine Silver round comes with a mirrored finish at a great price point!  Round Highlights:   Contains 1 oz of .999 fine Silver. APMEXclusive® series in partnership with Lionsgate . Multiples of 20 come packaged in tubes with special branding. Obverse: Features a lion in stride with a large shield in the background. ""Ens Causa Sui"" and “MMI” can be read along the top and bottom. Reverse: Shows a blindfolded woman holding a sword and shield in one arm and a bouquet of leaves in the other. Above is the Latin phrase ""Ex Unitae Vires.""  Released just in time for John Wick Chapter 3: Parabellum , these are replicas of the coins featured in the John Wick films! In this secret underworld, goods and services are not purchased with traditional currency or credit cards, but with Gold coins exclusive to their community. These coins play an important role in the movie by allowing Wick to purchase everything from firearms to a clean suit. Keep your portfolio current by adding this 1 oz John Wick Silver round to your cart today! For other great John Wick merchandise, check out ChronicleCollectibles.com.   ",John Wick® 1 oz Silver Continental Coin,"Product ID: 191448,  Year: N/A,  Grade: None,  Grade Service: Other,  Denomination: 1 oz,  Mint Mark: N/A,  Metal Content: 1 troy oz,  Purity: .999,  Diameter: 39 mm,  Outer Pack: 500,  "
" Product Details  As low as $0.69 per oz over spot These 1 oz APMEX Silver rounds are guaranteed .999 fine. The classic American eagle design adds an iconic beauty on top of the bullion content.  Silver Rounds are an excellent way to invest in pure Silver while avoiding the premiums usually found on legal tender Silver bullion coins. These Silver rounds are easily bought and sold, stored, stacked and counted. Round Highlights:   Contains 1 oz of .999 fine Silver. Round comes in protective packaging. Multiples of 20 or more may come in sealed plastic sheets or in a plastic tube. Obverse: Beautiful American eagle design common amongst APMEX products featuring 13 small stars representing the original colonies. Reverse: APMEX logo and web address, weight and purity. Guaranteed by APMEX. Protect your APMEX 1 oz Silver Round in style by adding a presentation box to your order. 1 oz Silver rounds are one of the easiest and most popular ways to acquire Silver. Add this 1 oz APMEX Silver round to your cart today!    Diversify your portfolio with 1 oz Silver rounds and hedge against economic downturns.  Include 1 oz Silver rounds in your investment portfolio and join the many investors and financial planners who believe that Precious Metals such as Silver can provide balance to your investments. Though Silver prices may fluctuate, they typically are not affected by the ups and downs of the stock market. With Silver bullion in your portfolio, many believe you have a hedge against economic downturns. Many times Silver prices have risen in times of high inflation when the dollar is at its weakest point. 1 oz Silver rounds provide as easy option for investors, as the premium over the spot price of Silver is often lower for this Silver bullion than for many Silver coins.    Buy 1 oz Silver rounds when the time is right according to supply and demand.  The price of 1 oz Silver rounds is affected by the supply and demand for Silver. Silver used to manufacture Silver rounds and other products is considered a rare Precious Metal; however, it is one of the easier Precious Metals to mine and process, which helps to keep the production costs lower. When you buy Silver bullion , including 1 oz Silver rounds, you are investing in a Precious Metal that is also in demand for industrial and other uses, ranging from solar panels to jewelry. As the demand for Silver rises, the higher the Silver price is for investments like these unique Silver rounds. Keep an eye on the Silver spot price and buy 1 oz Silver rounds when the price is right for you based on your Silver investing needs.    .999 Fine + Low Premium.      ",1 oz Silver Round - APMEX,"Product ID: 27024,  Year: N/A,  Grade: None,  Grade Service: None,  Denomination: 1 oz,  Mint Mark: None,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: 3.2 mm,  Diameter: 39 mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $0.79 per oz over spot The classic American eagle design adds an iconic beauty on top of the .999 fine Silver content. These 1 oz APMEX Silver bars have a deep mirror, prooflike finish, adding even further appeal.  Bar Highlights:   Contains 1 oz of .999 fine Silver. Bars come sealed in plastic. Multiples of five bars typically come in sealed plastic sheets. Obverse: Beautiful American eagle design common amongst APMEX products featuring 13 small stars representing the original colonies. Reverse: APMEX logo and web address, weight and purity. Guaranteed by APMEX. Add a beautiful and protective presentation box to your order. The design on this 1 oz Silver bar adds beauty to a nice bullion investment piece. Add this 1 oz APMEX Silver bar to your cart today!    Buy 1 oz Silver bars as close to the Silver spot price and maximize your investment.  When buying 1 oz Silver bars , you can follow a few simple tricks to get the most for your money. For one, buying Silver bars in volume can help reduce your costs and APMEX offers competitive volume pricing. Silver bullion remains more affordable, too, when you opt to pay for it with a check or wire rather than a credit card or PayPal. Watching for specials on Silver bullion and watching for when the Silver spot price dips are other ways to accumulate Silver at a lower price point.    Invest in 1 oz Silver bars at the price you choose when you sign up for APMEX Market Alerts.  Buy 1 oz Silver bars without sitting at your computer waiting for the market to hit your favored price by signing up for APMEX Market Alerts . Buying Silver bars is easier when you let APMEX track the market for you and then send you a text or email to alert you when the market reaches your price. APMEX can also track specific Silver bars when you sign up for APMEX Price Alerts. You can also create wish lists for Silver bullion so you can come back and purchase your favorites again and again without the need of searching the APMEX website.    1 ounce Silver bars by APMEX feature the patriotic artwork of an eagle and stars common to many APMEX products.      ",1 oz Silver Bar - APMEX,"Product ID: 27086,  Year: N/A,  Grade: None,  Grade Service: None,  Denomination: 1 oz,  Mint Mark: N/A,  Metal Content: 1 troy oz,  Purity: .999,  Thickness: 2.4 mm,  Diameter: 50 x 29 mm,  Inner Pack: 20,  Outer Pack: 500,  "
" Product Details  As low as $1.69 per coin over spot The Silver Canadian Maple Leaf is considered one of the most beautiful Silver coins in the world, with a classic design and high .9999 fine Silver bullion content. These coins are loved by collectors worldwide.  Coin Highlights:   Contains 1 oz of .9999 fine Silver. Multiples of 25 are packaged in mint tubes. All other coins will be in protective packaging. Eligible for Precious Metals IRAs . Obverse: Features the likeness of Queen Elizabeth II. Reverse: Displays one of Canada's most popular symbols, the maple leaf, as well as the weight and purity of the Silver bullion coin Protect your Silver Maple Leaf with this clear plastic capsule  or display it in style by adding an attractive presentation box or jewelry bezel to your order. APMEX is able to provide this popular and practical coin at an attractive price. Note that these coins will come in Brilliant Uncirculated condition, meaning that there will be no wear on the coin, though light contact marks and spotted surfaces are possible. Add the Random Year Silver Maples to your cart today. Dates on these random year coins will be of our choosing and may or may not vary, determined by stock on hand.   Related Searches   RCM Silver Maple Leafs     ",Canada 1 oz Silver Maple Leaf BU (Random Year),"Product ID: 1090,  Year: Random,  Grade: Brilliant Unc,  Grade Service: None,  Denomination: $5.00,  Mint Mark: Not Shown - RCM,  Metal Content: 1 troy oz,  Purity: .9999,  Thickness: 3.29 mm,  Diameter: 38 mm,  Inner Pack: 25,  Outer Pack: 500,  "
